time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,power
09:24:00,376.91,4.0,203,64,62,63,0,51,51,51,5,2,3,39,38,39,51,51,51,51,51,30.43,30.43,0.0,0.0,0.0, nan
09:29:00,406.89,4.0,207,62,61,61,0,51,51,51,3,1,1,39,38,39,51,51,51,51,51,30.43,30.43,0.0,0.0,0.0, nan
09:34:00,424.63,4.0,186,62,61,61,0,52,52,52,4,0,3,39,39,39,52,52,52,52,52,30.43,30.43,0.0,0.0,0.0, nan
09:39:00,433.8,4.0,198,62,61,61,0,52,52,52,5,0,3,39,39,39,52,52,52,52,52,30.44,30.43,0.0,0.0,0.0, nan
09:44:00,474.05,5.0,171,61,59,60,0,52,52,52,3,1,2,39,38,39,52,52,52,52,52,30.44,30.43,0.0,0.0,0.0, nan
09:49:00,479.68,5.0,176,61,59,59,0,52,52,52,4,0,2,39,38,39,52,52,52,52,52,30.45,30.44,0.0,0.0,0.0, nan
09:54:00,510.14,5.0,159,59,58,58,0,53,52,52,4,0,2,38,38,38,53,52,53,52,52,30.44,30.43,0.0,0.0,0.0, nan
09:59:00,513.57,5.0,205,59,58,58,0,53,53,53,5,1,3,39,39,39,53,53,53,53,53,30.44,30.44,0.0,0.0,0.0, nan
10:04:00,515.77,5.0,159,58,57,57,0,53,53,53,2,1,1,39,38,38,53,53,53,53,53,30.44,30.44,0.0,0.0,0.0, nan
10:09:00,527.88,6.0,151,58,55,56,0,54,53,53,5,0,1,39,38,38,54,53,54,53,53,30.45,30.44,0.0,0.0,0.0, nan
10:14:00,513.2,5.0,200,55,53,54,0,55,54,54,2,0,1,39,38,38,55,54,55,54,54,30.45,30.44,0.15,0.0,0.0, nan
10:19:00,552.23,6.0,217,55,51,53,0,55,55,55,2,0,1,39,37,38,55,55,55,55,55,30.45,30.44,0.0,0.0,0.0, nan
10:24:00,564.82,6.0,224,54,53,53,0,55,55,55,1,0,0,39,38,38,55,55,55,55,55,30.45,30.45,0.0,0.0,0.0, nan
10:29:00,568.25,6.0,148,52,49,50,0,57,55,55,0,0,0,38,37,37,57,55,57,55,55,30.46,30.45,0.15,0.0,0.0, nan
10:34:00,575.22,6.0,264,50,49,49,0,57,57,57,4,0,1,38,38,38,57,57,57,57,57,30.45,30.45,0.0,0.0,0.0, nan
10:39:00,598.59,6.0,148,51,50,50,0,57,56,56,1,0,0,39,38,38,57,56,57,56,56,30.45,30.44,0.0,0.0,0.0, nan
10:44:00,599.94,6.0,235,51,50,50,0,57,56,56,3,0,1,39,38,38,57,56,57,56,56,30.46,30.45,-0.15,0.0,0.0, nan
10:49:00,605.56,6.0,219,51,49,50,0,56,56,56,4,0,3,38,37,38,56,56,56,56,56,30.45,30.44,0.0,0.0,0.0, nan
10:54:00,628.07,7.0,225,50,48,49,0,56,56,56,4,0,1,37,36,37,56,56,56,56,56,30.45,30.44,-0.15,0.0,0.0, nan
10:59:00,628.56,7.0,193,49,46,47,0,57,56,56,3,1,1,37,36,37,57,56,57,56,56,30.45,30.44,0.0,0.0,0.0, nan
11:04:00,631.99,7.0,235,49,48,48,0,57,57,57,5,1,3,38,37,37,57,57,57,57,57,30.45,30.44,0.15,0.0,0.0, nan
11:09:00,635.04,7.0,197,48,45,46,0,57,56,56,0,0,0,37,36,36,57,56,57,56,56,30.45,30.44,0.0,0.0,0.0, nan
11:14:00,645.45,7.0,245,45,42,43,0,59,58,59,3,0,1,38,36,36,59,59,59,58,59,30.46,30.45,0.0,0.0,0.0, nan
11:19:00,659.39,7.0,335,44,41,42,0,59,59,59,10,5,5,37,35,36,59,59,59,59,59,30.45,30.44,-0.15,0.0,0.0, nan
11:24:00,665.02,7.0,265,47,43,45,0,59,58,59,8,2,5,39,36,38,59,59,59,58,59,30.45,30.44,0.0,0.0,0.0, nan
11:29:00,667.96,7.0,309,42,41,41,0,58,58,58,7,5,4,35,35,35,58,58,58,58,58,30.45,30.44,-0.15,0.0,0.0, nan
11:34:00,644.59,7.0,280,41,40,40,0,59,59,59,9,3,5,36,34,35,59,59,59,59,59,30.45,30.44,-0.15,0.0,0.0, nan
11:39:00,659.39,7.0,284,42,40,40,0,59,59,59,9,8,8,36,35,35,59,59,59,59,59,30.45,30.44,0.15,0.0,0.0, nan
